X,Y,identifiant,nom_etablissement,numero_siret,adresse,code_postal,commune,latitude,longitude,code_epsg,code_ape,libelle_ape,code_eprtr,libelle_eprtr,Emission,PDND,TDND,PDD,TDD,icon_url
2.28209664110933,48.9431801215329,"7406832",YPREMA,"3,50E+13","7, route du mÃ´le Central","92230",GENNEVILLIERS,"48.94318012153292","2.2820966411093284","4326.0",0812Z,"Exploitation de graviÃ¨res et sabliÃ¨res, extraction d'argiles et de kaolin",,,[],[],"[['R13', '17 05 04', 75300.0], ['R5 ', '17 01 01', 72900.0], ['R5 ', '17 03 02', 61800.0]]","[['D8 ', '13 05 07*', 3.0]]",[],./0.png
2.17720910946292,48.8981607052111,"7405059",PANZANI,"9,62E+13",29 A 31 RUE LAVOISIER,"92000",NANTERRE,"48.8981607052111","2.177209109462918","2154.0",1073Z,Fabrication de pÃ¢tes alimentaires,8.(b).(ii),matiÃ¨res premiÃ¨res vÃ©gÃ©tales d'une capacitÃ© de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle),[],[],[],"[['D13', '12 03 01*', 0.24], ['R12', '13 02 05*', 6.36], ['R12', '15 01 10*', 0.15], ['R12', '15 02 02*', 0.0], ['R12', '16 01 07*', 0.3], ['R12', '16 02 11*', 0.0], ['R12', '16 05 04*', 0.0], ['R12', '16 06 01*', 0.06], ['R12', '20 01 33*', 0.075], ['R12', '20 01 35*', 0.505]]",[],./0.png
2.30926422991557,48.9277640387213,"7408360",CAFÃS RICHARD,"4,33E+13",106 RUE DES FOSSES BLANCS,"92230",GENNEVILLIERS,"48.927764038721335","2.309264229915573","2154.0",1083Z,Transformation du thÃ© et du cafÃ©,,,[],[],[],"[['R1 ', '15 02 02*', 0.12], ['R1 ', '16 01 07*', 0.03], ['R1 ', '16 03 05*', 0.03], ['R4 ', '16 05 04*', 0.01], ['R5 ', '13 05 07*', 11.8], ['R9 ', '13 02 05*', 0.37]]",[],./0.png
2.20973566030399,48.9192170753594,"6505516",TENCATE GEOSYNTHETICS FRANCE,"3,54E+13","9, rue Marcel Paul, BP 80","95870",BEZONS,"48.91921707535945","2.209735660303989","2154.0",1395Z,"Fabrication de non-tissÃ©s, sauf habillement",,,[],[],[],"[['D10', '12 03 01*', 0.12], ['D10', '13 05 07*', 1.14], ['R1 ', '08 03 12*', 0.152], ['R1 ', '15 01 10*', 0.193], ['R1 ', '15 02 02*', 0.166], ['R1 ', '17 04 09*', 0.826], ['R12', '15 01 10*', 0.016], ['R12', '15 02 02*', 0.068], ['R12', '16 07 08*', 0.24], ['R13', '16 02 13*', 0.414], ['R13', '17 04 09*', 0.743], ['R3 ', '15 01 10*', 0.368], ['R4 ', '16 02 13*', 1.822], ['R4 ', '16 05 04*', 0.141], ['R9 ', '13 02 05*', 2.855]]",[],./0.png
2.2860591364091,48.9130952579171,"6517183",SociÃ©tÃ© des ateliers Louis Vuitton,"7,22E+13",17 rue de la ComÃ¨te,"92600",ASNIERES-SUR-SEINE,"48.913095257917085","2.2860591364091","2154.0",1512Z,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",,,[],[],[],"[['D3 ', '12 03 01*', 21.6], ['R1 ', '08 03 12*', 0.573], ['R1 ', '15 02 02*', 3.51], ['R1 ', '18 01 03*', 0.003], ['R12', '16 06 03*', 0.006]]",[],./0.png
2.31105436389417,48.9461468207449,"6506294",PMC ISOCHEM,"8,34E+13",4 AV PHILIPPE LEBON,"92230",GENNEVILLIERS,"48.94614682074488","2.311054363894172","2154.0",2014Z,Fabrication d'autres produits chimiques organiques de base,4.(e),Installations utilisant un procÃ©dÃ© chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base,"[['Air', 'Chloroforme (trichlorométhane)', 873.0, 'kg/an'], ['Air', 'Dichlorométhane (DCM, chlorure de méthylène)', 1800.0, 'kg/an'], ['Eau (indirect)', 'Chloroforme (trichlorométhane)', 11.5, 'kg/an']]",[],[],"[['D10', '07 01 04*', 6.44], ['D10', '07 07 01*', 24.3], ['D10', '07 07 01*', 49.1], ['D10', '07 07 01*', 1190.0], ['D10', '07 07 10*', 9.9], ['D13', '15 02 02*', 0.523], ['D13', '16 05 06*', 1.81], ['D13', '16 05 08*', 3.09], ['D13', '16 05 08*', 0.382], ['D9 ', '06 01 02*', 44.0], ['D9 ', '07 07 01*', 611.0], ['R1 ', '07 07 01*', 226.0], ['R1 ', '07 07 03*', 154.0], ['R1 ', '07 07 04*', 769.0], ['R1 ', '15 01 10*', 11.4], ['R1 ', '15 01 10*', 20.7], ['R1 ', '16 03 05*', 3.63], ['R12', '15 01 10*', 2.12], ['R13', '15 01 10*', 0.5], ['R13', '15 02 02*', 31.9], ['R13', '16 05 08*', 0.41], ['R2 ', '07 07 04*', 71.0], ['R2 ', '07 07 04*', 35.7], ['R3 ', '15 01 10*', 3.02], ['R5 ', '06 01 02*', 9.5], ['R5 ', '07 01 01*', 125.0], ['R5 ', '07 01 01*', 1070.0], ['R5 ', '07 05 03*', 553.0]]",[],./0.png
2.32244736743971,48.9341163681747,"6506327",PCAS,"6,22E+13",35 AV JEAN JAURES,"92390",VILLENEUVE-LA-GARENNE,"48.9341163681747","2.322447367439709","2154.0",2110Z,Fabrication de produits pharmaceutiques de base,4.(e),Installations utilisant un procÃ©dÃ© chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base,"[['Eau (indirect)', 'Méthanol (alcool méthylique)', 21400.0, 'kg/an']]",[],[],"[['D10', '07 05 01*', 53.9], ['D10', '07 07 01*', 14.9], ['D10', '07 07 04*', 147.0], ['D10', '07 07 04*', 2450.0], ['D10', '07 07 04*', 35.4], ['D10', '15 01 10*', 0.67], ['D13', '06 01 02*', 2.22], ['D13', '06 01 06*', 0.193], ['D13', '06 02 05*', 0.01], ['D13', '06 04 04*', 0.01], ['D13', '06 04 05*', 0.02], ['D13', '07 05 13*', 2.58], ['D13', '15 01 10*', 0.05], ['D13', '16 03 03*', 0.55], ['D13', '16 03 05*', 0.31], ['D13', '16 05 06*', 4.64], ['R1 ', '07 07 03*', 1270.0], ['R1 ', '07 07 04*', 24.0], ['R1 ', '15 02 02*', 17.4], ['R12', '15 01 10*', 0.98], ['R13', '07 05 03*', 0.73], ['R13', '07 07 04*', 16.7], ['R13', '07 07 04*', 0.65], ['R13', '15 01 10*', 1.82], ['R13', '16 02 13*', 0.51], ['R13', '16 05 04*', 0.03], ['R13', '19 08 13*', 14.6], ['R2 ', '07 07 04*', 738.0], ['R2 ', '07 07 04*', 67.5], ['R3 ', '15 01 10*', 328.0], ['R5 ', '07 07 01*', 15.4]]",[],./0.png
2.29674867121439,48.9287973797055,"6506284",MERSEN FRANCE GENNEVILLIERS,"4,34E+13",41 AV JEAN JAURES,"92230",GENNEVILLIERS,"48.92879737970551","2.2967486712143894","2154.0",2399Z,Fabrication d'autres produits minÃ©raux non mÃ©talliques n.c.a.,9.(d),Installations destinÃ©es Ã  la fabrication de carbone (charbon dur) ou d'Ã©lectrographite par combustion ou graphitisation,"[['Air', 'Dioxines et furanes (PCDD + PCDF) (exprimés en iTeq)', 0.005, 'kg/an']]",[],[],"[['D13', '12 03 01*', 1.08], ['R1 ', '18 01 03*', 0.03], ['R12', '06 08 02*', 0.23], ['R12', '14 06 03*', 0.0], ['R13', '13 02 08*', 2.8], ['R13', '15 01 10*', 0.37], ['R13', '15 02 02*', 6.05], ['R13', '16 05 04*', 0.15], ['R5 ', '20 01 21*', 0.0]]",[],./0.png
2.1760850418945,48.8924781526252,"7405094",SPECITUBES,"6,52E+13",13 RUE DU PORT,"92000",NANTERRE,"48.892478152625216","2.176085041894501","2154.0",2420Z,"Fabrication de tubes, tuyaux, profilÃ©s creux et accessoires correspondants en acier",,,[],[],[],"[['R1 ', '12 01 06*', 6.61], ['R1 ', '15 01 10*', 1.357], ['R5 ', '15 01 10*', 0.87], ['R5 ', '16 05 07*', 30.0]]",[],./0.png
2.30703916241727,48.9298465528332,"7404581",HOWMET SAS,"5,62E+13",68 RUE DU MOULIN DE CAGE,"92230",GENNEVILLIERS,"48.92984655283325","2.3070391624172704","2154.0",2452Z,Fonderie d'acier,,,[],[],[],"[['D13', '12 03 01*', 0.06], ['D13', '16 05 06*', 0.059], ['D5 ', '10 10 05*', 189.0], ['D5 ', '10 10 07*', 342.0], ['D5 ', '12 01 16*', 74.0], ['D5 ', '16 03 03*', 16.9], ['D9 ', '11 01 07*', 88.6], ['D9 ', '16 10 01*', 137.0], ['D9 ', '19 02 04*', 10.4], ['R1 ', '18 01 03*', 0.004], ['R12', '08 01 11*', 0.044], ['R12', '11 01 05*', 0.728], ['R12', '11 01 09*', 0.994], ['R12', '11 01 98*', 0.123], ['R12', '12 01 09*', 0.146], ['R12', '12 01 18*', 1.32], ['R12', '15 01 10*', 23.8], ['R12', '15 02 02*', 12.8], ['R12', '20 01 21*', 0.121], ['R13', '13 01 10*', 1.53], ['R5 ', '11 01 11*', 139.0], ['R5 ', '13 05 07*', 1.7]]",[],./0.png
2.21347555034155,48.9200600605809,"6505518",SDPM DECORAT. PROTECT. METAUX,"3,00E+13",33 rue louis Rameau,"95870",BEZONS,"48.92006006058086","2.213475550341554","2154.0",2561Z,Traitement et revÃªtement des mÃ©taux,2.(f),Installations de traitement de surface de mÃ©taux et des matiÃ¨res plastiques utilisant un procÃ©dÃ© Ã©lectrolytique ou chimique lorsque le volume des cuves affectÃ©es au traitement est Ã©gal Ã  30 m3,[],[],[],"[['D10', '11 01 07*', 0.539], ['D10', '11 01 15*', 51.9], ['D10', '11 01 98*', 29.8], ['D10', '19 02 04*', 53.0], ['D9 ', '11 01 05*', 4.35], ['D9 ', '11 01 09*', 0.571], ['D9 ', '11 01 11*', 22.0], ['D9 ', '11 01 15*', 20.1], ['D9 ', '11 01 98*', 14.4], ['D9 ', '19 02 04*', 27.2], ['R1 ', '15 01 10*', 0.781], ['R12', '15 01 10*', 0.044], ['R12', '15 01 11*', 0.068]]",[],./0.png
2.18451532377871,48.8958724050524,"7405746",LRB ROULIER,"7,00E+13",33 RUE DES AGGLOMERES,"92000",NANTERRE,"48.89587240505237","2.184515323778713","4326.0",2561Z,Traitement et revÃªtement des mÃ©taux,2.(f),Installations de traitement de surface de mÃ©taux et des matiÃ¨res plastiques utilisant un procÃ©dÃ© Ã©lectrolytique ou chimique lorsque le volume des cuves affectÃ©es au traitement est Ã©gal Ã  30 m3,[],[],[],"[['D10', '11 01 13*', 7.44], ['D10', '15 01 10*', 0.162], ['D5 ', '11 01 09*', 13.8], ['D9 ', '11 01 05*', 19.0], ['D9 ', '16 03 03*', 5.28]]",[],./0.png
2.31246874646608,48.9228093455003,"6506290",SOC PHOSALU REVETEMEN METAUX,"5,62E+13","202 RUE DES CABOEUFS, BP 50","92230",GENNEVILLIERS,"48.92280934550026","2.3124687464660827","2154.0",2561Z,Traitement et revÃªtement des mÃ©taux,2.(f),Installations de traitement de surface de mÃ©taux et des matiÃ¨res plastiques utilisant un procÃ©dÃ© Ã©lectrolytique ou chimique lorsque le volume des cuves affectÃ©es au traitement est Ã©gal Ã  30 m3,[],[],[],"[['D9 ', '06 01 06*', 2.0], ['D9 ', '16 03 05*', 1.0], ['D9 ', '16 09 02*', 0.8]]",[],./0.png
2.32269824361459,48.9326699277929,"6506328",GALVANOPLAST / SOCORFI,"8,29E+13",23 AVENUE DU CHEMIN DES RENIERS,"92390",VILLENEUVE-LA-GARENNE,"48.93266992779285","2.3226982436145924","2154.0",2561Z,Traitement et revÃªtement des mÃ©taux,2.(f),Installations de traitement de surface de mÃ©taux et des matiÃ¨res plastiques utilisant un procÃ©dÃ© Ã©lectrolytique ou chimique lorsque le volume des cuves affectÃ©es au traitement est Ã©gal Ã  30 m3,"[['Eau (indirect)', 'Nickel et composés (exprimés en tant que Ni)', 40.3, 'kg/an']]",[],[],"[['D10', '11 02 07*', 25.7], ['D13', '06 01 06*', 0.919], ['D13', '06 02 05*', 2.44], ['D13', '11 01 08*', 0.658], ['D13', '13 07 01*', 0.259], ['D13', '15 01 10*', 2.34], ['D5 ', '11 01 09*', 42.5], ['D5 ', '15 01 10*', 0.88], ['D9 ', '11 01 09*', 22.4], ['R12', '11 01 09*', 12.2], ['R13', '15 02 02*', 0.388]]",[],./0.png
2.31211675407142,48.92982184865,"7404600",DECAP ILE DE FRANCE,"3,84E+13",8 RUE THOMAS EDISON,"92230",GENNEVILLIERS,"48.92982184864998","2.3121167540714227","4326.0",2561Z,Traitement et revÃªtement des mÃ©taux,,,[],[],[],"[['D10', '12 01 14*', 12.0], ['D10', '12 01 14*', 48.04], ['R13', '12 01 14*', 2.54]]",[],./0.png
2.2285284753676,48.9282606997531,"6505519",PROTEC INDUSTRIE,"6,52E+13",208/210 RUE MICHEL CARRE,"95870",BEZONS,"48.92826069975309","2.2285284753676","2154.0",2561Z,Traitement et revÃªtement des mÃ©taux,2.(f),Installations de traitement de surface de mÃ©taux et des matiÃ¨res plastiques utilisant un procÃ©dÃ© Ã©lectrolytique ou chimique lorsque le volume des cuves affectÃ©es au traitement est Ã©gal Ã  30 m3,[],[],[],"[['D10', '06 03 11*', 140.0], ['D13', '12 03 01*', 0.12], ['D13', '14 06 03*', 2.0], ['D13', '15 01 10*', 0.75], ['D13', '15 02 02*', 0.365], ['D13', '16 05 06*', 0.174], ['D13', '16 09 01*', 1.5], ['D5 ', '17 06 05*', 3.11], ['R13', '08 01 11*', 1.55], ['R13', '11 01 09*', 1.97], ['R13', '15 01 10*', 0.604], ['R13', '20 01 13*', 0.12], ['R4 ', '11 01 98*', 0.35]]",[],./0.png
2.21193918906579,48.9214888661755,"6513135",RIBER,"3,43E+13","31 RUE CASIMIR PERIER, BP 70083","95870",BEZONS,"48.92148886617552","2.2119391890657933","2154.0",2651B,Fabrication d'instrumentation scientifique et technique,9.(c),"Installations destinÃ©es au traitement de surface de matiÃ¨res, d'objets ou de produits Ã  l'aide de solvants organiques, notamment pour les opÃ©rations d'apprÃªt, d'impression, de revÃªtement, de dÃ©graissage, d'impermÃ©abilisation, de collage, de peinture, de nettoyage ou d'imprÃ©gnation d'une capacitÃ© de consommation de 150 kg par heures ou 200 tonnes par an",[],[],[],"[['D5 ', '06 01 05*', 4.14], ['D5 ', '06 01 06*', 13.9], ['D5 ', '06 02 05*', 4.18], ['D5 ', '06 04 03*', 0.154], ['D5 ', '06 13 02*', 0.801], ['D5 ', '10 01 09*', 0.166], ['D5 ', '11 01 16*', 2.03], ['D5 ', '12 01 10*', 0.135], ['D5 ', '15 01 10*', 0.06], ['D5 ', '15 02 02*', 0.069]]",[],./0.png
